iter	Passed	Remaining
807	11570	2749
808	11581	2734
809	11592	2719
810	11604	2704
811	11616	2689
812	11627	2674
813	11637	2659
814	11650	2644
815	11669	2631
816	11691	2618
817	11711	2605
818	11744	2595
819	11760	2581
820	11782	2568
821	11806	2556
822	11817	2541
823	11831	2527
824	11849	2513
825	11866	2499
826	11883	2485
827	11896	2471
828	11907	2456
829	11917	2440
830	11929	2426
831	11941	2411
832	11950	2395
833	11963	2381
834	11976	2366
835	11986	2351
836	11997	2336
837	12009	2321
838	12018	2306
839	12029	2291
840	12042	2276
841	12055	2262
842	12070	2248
843	12086	2234
844	12100	2219
845	12113	2205
846	12137	2192
847	12162	2180
848	12175	2165
849	12198	2152
850	12217	2139
851	12227	2124
852	12241	2109
853	12261	2096
854	12278	2082
855	12293	2068
856	12312	2054
857	12325	2039
858	12340	2025
859	12354	2011
860	12366	1996
861	12376	1981
862	12388	1966
863	12401	1952
864	12416	1937
865	12426	1922
866	12439	1908
867	12459	1894
868	12469	1879
869	12482	1865
870	12497	1850
871	12511	1836
872	12524	1822
873	12538	1807
874	12552	1793
875	12573	1779
876	12587	1765
877	12607	1751
878	12619	1737
879	12633	1722
880	12646	1708
881	12657	1693
882	12667	1678
883	12679	1663
884	12690	1649
885	12700	1634
886	12716	1620
887	12738	1606
888	12751	1592
889	12774	1578
890	12797	1565
891	12811	1551
892	12836	1538
893	12850	1523
894	12862	1508
895	12873	1494
896	12882	1479
897	12891	1464
898	12904	1449
899	12917	1435
900	12928	1420
901	12943	1406
902	12959	1392
903	12974	1377
904	12987	1363
905	12998	1348
906	13012	1334
907	13023	1319
908	13039	1305
909	13055	1291
910	13073	1277
911	13086	1262
912	13102	1248
913	13120	1234
914	13140	1220
915	13156	1206
916	13175	1192
917	13190	1178
918	13213	1164
919	13237	1151
920	13256	1137
921	13285	1123
922	13298	1109
923	13311	1094
924	13321	1080
925	13334	1065
926	13350	1051
927	13362	1036
928	13373	1022
929	13386	1007
930	13399	993
931	13410	978
932	13424	964
933	13444	950
934	13462	935
935	13477	921
936	13492	907
937	13504	892
938	13517	878
939	13531	863
940	13545	849
941	13555	834
942	13569	820
943	13582	805
944	13596	791
945	13610	776
946	13620	762
947	13633	747
948	13647	733
949	13662	719
950	13677	704
951	13699	690
952	13722	676
953	13737	662
954	13756	648
955	13770	633
956	13781	619
957	13790	604
958	13800	590
959	13809	575
960	13817	560
961	13828	546
962	13863	532
963	13876	518
964	13893	503
965	13904	489
966	13926	475
967	13949	461
968	13967	446
969	13979	432
970	13995	417
971	14007	403
972	14019	389
973	14031	374
974	14042	360
975	14051	345
976	14061	331
977	14069	316
978	14077	301
979	14088	287
980	14098	273
981	14114	258
982	14126	244
983	14137	229
984	14147	215
985	14158	201
986	14174	186
987	14203	172
988	14225	158
989	14250	143
990	14269	129
991	14320	115
992	14357	101
993	14384	86
994	14410	72
995	14432	57
996	14470	43
997	14487	29
998	14521	14
999	14540	0
